Accession,Year,historical_cluster,kmeans_cluster
ASK84290,2017,Other,8
ASK84302,2017,Other,8
AZK12346,2018,Other,8
QDQ45079,2019,Other,3
ACT34402,2008,Other,13
ATZ79744,2017,Other,8
AXB52031,2018,Other,8
APB89285,2014,Other,0
AUH31623,2017,Other,8
QED95317,2019,Other,3
ANN01895,2016,Other,6
AYW00288,2018,Other,8
AZK12079,2018,Other,8
ANM97611,2015,Other,6
QAU20474,2018,Other,8
QHN71900,2019,Other,3
QHW15638,2019,Other,3
AOT90670,2016,Other,6
QBL91793,2018,Other,8
AOT91222,2016,Other,6
APC59668,2016,Other,6
APO18994,2016,Other,6
APO19006,2016,Other,6
APT43946,2016,Other,6
AGK74585,2011,Other,9
ALH34487,2015,Other,6
ANM96909,2016,Other,6
AQI25253,2017,Other,8
ALH28260,2014,Other,0
ALH33748,2015,Other,6
QIQ46698,2020,Other,3
ACD85624,2008,Other,13
AGK73780,2011,Other,9
AGK74334,2011,Other,9
ALH35012,2015,Other,6
ANN01091,2016,Other,6
AXA18976,2018,Other,8
QCW14997,2019,Other,3
QJP02922,2020,Other,3
AGZ61263,2012,Other,9
ARO43620,2017,Other,8
QCG84882,2019,Other,3
ALH29137,2014,Other,0
ASB16536,2017,Other,8
APW80314,2016,Other,6
QDQ45120,2019,Other,3
APT43898,2016,Other,6
ALH31383,2014,Other,0
AIK26599,2013,Other,0
ALH31406,2014,Other,0
APB89496,2014,Other,0
QDE07296,2019,Other,3
AIK26601,2013,Other,0
QGW44397,2019,Other,3
AIK26591,2013,Other,0
AIK26602,2013,Other,0
AIK26603,2013,Other,0
QHW15673,2019,Other,3
QIA55451,2019,Other,3
AIK26596,2013,Other,0
QIJ26587,2019,Other,3
AIK26606,2012,Other,9
AIK26607,2012,Other,9
ALE32054,2014,Other,0
AIK26608,2012,Other,9
AIK26610,2012,Other,9
AIK26597,2013,Other,0
ATD11217,2017,Other,8
ATD11218,2017,Other,8
ATD11220,2017,Other,8
ATD11223,2017,Other,8
ATD11289,2017,Other,8
ATD11449,2017,Other,8
ATD11450,2017,Other,8
ATD11451,2017,Other,8
AXP19246,2017,Other,8
QBA98945,2018,Other,8
QBA98262,2018,Other,8
QBZ79568,2019,Other,3
QBZ78909,2019,Other,3
QBZ79616,2019,Other,3
QCP67164,2019,Other,3
QCQ18451,2019,Other,3
QDK57824,2019,Other,3
ACJ09818,2007,Other,13
ACL12184,2008,Other,13
ACO95292,2008,Other,13
ACN33178,2008,Other,13
ALH34317,2015,Other,6
AQS97833,2017,Other,8
ABW23253,2007,Other,13
AGL06777,2012,Other,9
AGK74465,2011,Other,9
AGZ61154,2013,Other,0
ACM51230,2008,Other,13
AGK74493,2011,Other,9
ALH25168,2015,Other,6
QBS20254,2019,Other,3
ACB11788,2007,Other,13
ALH34982,2015,Other,6
AQW37551,2017,Other,8
ALH29819,2014,Other,0
AXA19000,2018,Other,8
QCG84931,2019,Other,3
AXA19012,2018,Other,8
QCG84943,2019,Other,3
APC58626,2016,Other,6
QCW15088,2019,Other,3
ALH30978,2014,Other,0
APW80302,2016,Other,6
QDQ45156,2019,Other,3
APW81926,2016,Other,6
AXQ12748,2018,Other,8
ASZ79327,2016,Other,6
AZF87423,2018,Other,8
AZF87363,2018,Other,8
AXB53318,2018,Other,8
AUD09662,2017,Other,8
AUH30010,2017,Other,8
AXH81510,2018,Other,8
AXB53400,2018,Other,8
AUH31692,2017,Other,8
AWX41976,2018,Other,8
QCP67176,2019,Other,3
QCP67200,2019,Other,3
QDK57860,2019,Other,3
QDK57884,2019,Other,3
QDK57920,2019,Other,3
QDD56968,2019,Other,3
QDD57016,2019,Other,3
AEG64889,2000,SY97,12
AEG64988,2005,Other,10
AEG65120,2006,Other,13
AEG65175,2004,Other,10
AHB73565,2013,Other,0
AKQ09947,2015,Other,6
ASB31368,2017,Other,8
ASB31369,2017,Other,8
QCO71790,2018,Other,8
QBY33071,2019,Other,3
AJK00918,2008,Other,13
AGK74769,2011,Other,9
AJK01627,2009,Other,5
AGK73892,2010,Other,5
AGK74293,2011,Other,9
QCW15129,2019,Other,3
ACT67805,2009,Other,5
AGK74305,2011,Other,9
AQS98238,2017,Other,8
AGL06334,2012,Other,9
AGL06245,2012,Other,9
AQW37150,2017,Other,8
AGK73919,2010,Other,5
AGL06301,2012,Other,9
QCW15153,2019,Other,3
ALH25204,2015,Other,6
AXA19024,2018,Other,8
ARD26716,2017,Other,8
ARO41720,2017,Other,8
AGZ60444,2012,Other,9
ANM99387,2016,Other,6
AGF68694,2009,Other,5
QCW15165,2019,Other,3
ATX61115,2017,Other,8
ATX61091,2017,Other,8
AMB70122,2015,Other,6
ATZ79966,2017,Other,8
AMB71175,2015,Other,6
ATZ79978,2017,Other,8
ATZ80002,2017,Other,8
ANM97851,2015,Other,6
AUP48420,2017,Other,8
AUP48432,2017,Other,8
AUP48444,2017,Other,8
QGQ58634,2019,Other,3
AOT90970,2016,Other,6
QGQ58658,2019,Other,3
QGQ59176,2019,Other,3
QGQ59188,2019,Other,3
QBL91852,2018,Other,8
QGW44421,2019,Other,3
APH10571,2016,Other,6
QHI03436,2019,Other,3
APO19030,2016,Other,6
QHW15757,2019,Other,3
APY26300,2016,Other,6
QBX91231,2019,Other,3
QBX92245,2019,Other,3
BAG28229,2006,Other,13
BAG28230,2006,Other,13
BAG28231,2006,Other,13
BAG28225,2002,FU02,2
BAG28226,2002,FU02,2
AJK03328,2009,Other,5
AAT08002,1999,SY97,12
ABE73115,1999,SY97,12
AFM72208,1999,SY97,12
QDA45669,2019,Other,3
QDA45796,2019,Other,3
ALM05981,2012,Other,9
ALM05982,2012,Other,9
ALM05983,2012,Other,9
AAZ32949,2003,FU02,2
AAZ32950,2003,FU02,2
AAZ32946,2003,FU02,2
AAZ32948,2003,FU02,2
AAZ32951,2003,FU02,2
AAZ32952,2003,FU02,2
ADQ92580,2009,Other,5
ADQ92579,2009,Other,5
APR73204,2016,Other,6
AIF72917,2009,Other,5
AIF72915,2009,Other,5
AIF72914,2009,Other,5
AIF72909,2009,Other,5
AIF72904,2010,Other,5
AIF72903,2010,Other,5
AIF72905,2010,Other,5
AJK02268,2010,Other,5
ALM05094,2011,Other,9
BAQ58715,2014,Other,0
BAQ58725,2014,Other,0
BAQ58735,2014,Other,0
BAA86062,1995,WU95,7
BAA86063,1998,SY97,12
BAA86064,1998,SY97,12
BAA86065,1995,WU95,7
ABB79957,1994,BE92,7
ABB04961,1994,BE92,7
ABD60801,1993,BE92,7
ABB79968,1993,BE92,7
AFG72625,1995,WU95,7
AIU46048,1995,WU95,7
ADD21435,2009,Other,5
ABB53751,1980,BK79,4
ADR78615,2010,Other,5
ADR78637,2010,Other,5
ABC39805,1983,BK79,1
ABB96520,1977,TX77,4
QCW15213,2019,Other,3
ACF40088,2008,Other,13
AGK74565,2011,Other,9
ALH34056,2015,Other,6
AQY20913,2017,Other,8
AGZ61524,2013,Other,0
AQY20901,2017,Other,8
AGK73609,2011,Other,9
AGZ60468,2013,Other,0
ARB18017,2017,Other,8
QBY33094,2019,Other,3
AGL07189,2012,Other,9
APB89544,2015,Other,6
ANM99818,2016,Other,6
AGK74482,2011,Other,9
AGK74594,2011,Other,9
QFQ51455,2019,Other,3
AGL06411,2011,Other,9
QGW44445,2019,Other,3
AUP48118,2017,Other,8
QBS21778,2018,Other,8
AIE09634,2013,Other,0
AMB69132,2015,Other,6
AOS87586,2015,Other,6
AOT89159,2016,Other,6
AGF68726,2009,Other,5
APW80968,2016,Other,6
AGL09764,2013,Other,0
ALM05836,2012,Other,9
ALA08619,2014,Other,0
ALE31687,2014,Other,0
ALE31821,2014,Other,0
ALE31825,2014,Other,0
ALE31830,2015,Other,6
ALE31926,2015,Other,6
ALE32055,2015,Other,6
ALE32057,2015,Other,6
ALE32060,2015,Other,6
ATD11064,2017,Other,8
AXX75373,2018,Other,8
AJK00545,2009,Other,5
ABU50564,2006,Other,13
AFM72400,2006,Other,13
AFH00824,2010,Other,5
AFH00428,1995,WU95,7
AFG72834,2002,FU02,2
AFH00186,1993,BE92,7
AFH01407,2003,FU02,2
AFG72812,2001,SY97,2
AFH00197,1993,BE92,7
AFH00582,2001,SY97,2
AFH00208,1993,BE92,7
AFG72350,1993,BE92,7
AFH00340,1994,BE92,7
AFG72845,2003,FU02,2
AFG99116,1980,BK79,4
AFG72856,2003,FU02,2
AFH00615,2003,FU02,2
AFH00725,1982,BK79,1
AIU46023,1982,BK79,1
AFG99149,1982,BK79,1
AFG72383,1993,BE92,7
AFG72636,1995,WU95,7
AFG72339,1992,BE92,7
AFH00560,2000,SY97,12
AFH00538,1997,SY97,12
AFH00802,1999,SY97,12
AFG99193,1985,BK79,1
AFG99204,1985,BK79,1
AJK02197,2010,Other,5
AFH00219,1993,BE92,7
AFG72394,1993,BE92,7
AFH00230,1993,BE92,7
AFG72922,2008,Other,13
AFG72405,1993,BE92,7
AFH00659,2006,Other,13
AFG72779,1998,SY97,12
AFG99281,1988,SI87,1
AFH00549,1998,SY97,12
AFH00791,1998,SY97,12
AFG99325,1989,BE89,1
AFG99336,1989,BE89,1
AFH00681,2007,Other,13
AFG72933,2009,Other,5
AFG99347,1989,BE89,1
AFG99745,1992,BE92,7
AFH00516,1996,WU95,7
AFG99767,1992,BE92,7
AFG99778,1991,BE89,7
AGZ61592,2013,Other,0
ALH34342,2015,Other,6
AQS98577,2017,Other,8
AGZ60376,2013,Other,0
AIE09822,2014,Other,0
ALH33631,2015,Other,6
AIE09596,2013,Other,0
AQZ37651,2017,Other,8
AGK74412,2011,Other,9
ARO43402,2017,Other,8
AIE09724,2014,Other,0
AIU46537,2014,Other,0
ARQ86669,2017,Other,8
AIU46501,2014,Other,0
AGL07013,2012,Other,9
ALH25284,2015,Other,6
ASK82523,2017,Other,8
ALH35262,2015,Other,6
AGL07052,2012,Other,9
ATX60743,2017,Other,8
AGL07048,2012,Other,9
ALH35023,2015,Other,6
ALH29177,2014,Other,0
ALH34870,2015,Other,6
ALH34704,2015,Other,6
AGL06412,2012,Other,9
ATZ79533,2017,Other,8
ALH31835,2014,Other,0
APB90183,2015,Other,6
QDX13292,2019,Other,3
AGL07309,2012,Other,9
ALH32782,2014,Other,0
QED95358,2019,Other,3
QDE07392,2019,Other,3
AGZ60660,2012,Other,9
ANN02325,2016,Other,6
QDQ43440,2019,Other,3
ALH25229,2015,Other,6
AGL09766,2012,Other,9
ALH36644,2015,Other,6
APC58650,2016,Other,6
ALE31688,2014,Other,0
ALE31928,2015,Other,6
QIA55559,2019,Other,3
ALE32061,2015,Other,6
ALE32062,2015,Other,6
ALN39700,2015,Other,6
APW80777,2016,Other,6
AQI25145,2016,Other,6
ATD11164,2017,Other,8
QCQ18452,2019,Other,3
QCT08895,2019,Other,3
AEK28927,2009,Other,5
AIU46073,2004,Other,10
ACT67801,2009,Other,5
AQI17037,2017,Other,8
AGK74207,2011,Other,9
AIE09840,2014,Other,0
AGZ61543,2013,Other,0
APB89870,2015,Other,6
ANM99890,2016,Other,6
QBS21821,2019,Other,3
ACT67775,2009,Other,5
AGL06308,2012,Other,9
AQS20050,2017,Other,8
AGK74215,2011,Other,9
AGL06721,2012,Other,9
AGK74433,2011,Other,9
ALH25496,2015,Other,6
AGK74497,2011,Other,9
AIE10005,2014,Other,0
ANN00635,2016,Other,6
ARH16053,2017,Other,8
AGL06674,2012,Other,9
AGZ60813,2012,Other,9
AXA19060,2018,Other,8
ANN01499,2016,Other,6
QDX11269,2019,Other,3
ALH35563,2015,Other,6
ANN02205,2016,Other,6
AZK12125,2018,Other,8
AGZ60429,2012,Other,9
ANN02217,2016,Other,6
ARO44268,2017,Other,8
AWX41994,2018,Other,8
QDE07421,2019,Other,3
ARS00401,2017,Other,8
ASB16356,2017,Other,8
AZF86352,2018,Other,8
APH10195,2016,Other,6
APB90544,2014,Other,0
AYG77580,2018,Other,8
APT44124,2016,Other,6
AYW00214,2018,Other,8
APW81477,2016,Other,6
QDE07464,2019,Other,3
AMB67717,2015,Other,6
AIE10010,2014,Other,0
AQI13212,2017,Other,8
QBS21833,2019,Other,3
AGK73701,2011,Other,9
AGK74143,2010,Other,5
AIE09469,2014,Other,0
AXV44248,2018,Other,8
AGK73653,2011,Other,9
ALH35215,2015,Other,6
AJK02324,2007,Other,13
AGZ60836,2013,Other,0
AQS20475,2017,Other,8
ANN00263,2016,Other,6
AGL06871,2011,Other,9
AGZ60540,2012,Other,9
AIE10180,2013,Other,0
AQW35872,2017,Other,8
ALH26075,2015,Other,6
AQW35896,2017,Other,8
QCG85051,2019,Other,3
QJA11422,2020,Other,3
ACA33683,2007,Other,13
AIE09971,2013,Other,0
ALH36086,2015,Other,6
AJK00911,2007,Other,13
AOT90874,2016,Other,6
ARO44280,2017,Other,8
QDQ45323,2019,Other,3
QDE07500,2019,Other,3
AZF86282,2018,Other,8
ALH30539,2014,Other,0
AWX42012,2018,Other,8
AUH28370,2017,Other,8
AXF93225,2018,Other,8
AUH28531,2017,Other,8
QGW44469,2019,Other,3
QHW15805,2019,Other,3
QHW15829,2019,Other,3
QBL91893,2018,Other,8
QAB01813,2018,Other,8
ALE31831,2015,Other,6
ALE31832,2015,Other,6
ALE32064,2015,Other,6
QAY27499,2018,Other,8
ATD10934,2017,Other,8
QBS21857,2018,Other,8
ATD11165,2017,Other,8
AXP19303,2018,Other,8
QAB04168,2018,Other,8
AZY31634,2018,Other,8
QBM12746,2018,Other,8
QCP67283,2019,Other,3
QDK57944,2019,Other,3
QCT08124,2019,Other,3
QBM07658,2018,Other,8
AEK28872,2009,Other,5
ABW23248,2007,Other,13
ABW23249,2007,Other,13
ACH82077,2008,Other,13
AQS19876,2017,Other,8
APB90604,2015,Other,6
AGL06624,2012,Other,9
AGK74159,2010,Other,5
AIE09919,2014,Other,0
APB90781,2015,Other,6
AIE09732,2014,Other,0
ANM99411,2016,Other,6
AQZ37431,2017,Other,8
AIE09543,2014,Other,0
ALH25912,2015,Other,6
AGZ61012,2013,Other,0
QBS20314,2019,Other,3
AGK74854,2011,Other,9
AIU46383,2014,Other,0
AIU46412,2014,Other,0
AIU46419,2014,Other,0
AUM84960,2014,Other,0
AGK74424,2011,Other,9
AIU46452,2014,Other,0
AGL06885,2011,Other,9
APB90197,2015,Other,6
AZF86938,2018,Other,8
QCW15333,2019,Other,3
ARO44374,2017,Other,8
AXQ12772,2018,Other,8
AZF86857,2018,Other,8
QDX13512,2019,Other,3
ATZ78111,2017,Other,8
AIE10097,2013,Other,0
QDX13531,2019,Other,3
QED95418,2019,Other,3
ALH27235,2014,Other,0
ANN01703,2016,Other,6
ANM96225,2015,Other,6
AUM85422,2017,Other,8
ANN02445,2016,Other,6
ALE32066,2015,Other,6
AQI17014,2016,Other,6
ATD11225,2017,Other,8
QAB04170,2018,Other,8
QBA98993,2018,Other,8
QDC20228,2019,Other,3
ABI93050,1999,SY97,12
ABJ09305,1999,SY97,12
ABJ16598,1999,SY97,12
ABJ09316,1999,SY97,12
ABJ16620,1999,SY97,12
ABI95305,2000,SY97,12
ABJ09349,2000,SY97,12
ABI93116,2000,SY97,12
ABJ09261,1999,SY97,12
ABJ09272,1999,SY97,12
ABO33036,1999,SY97,12
AYM50138,2017,Other,8
AYM49995,2018,Other,8
AYM50184,2018,Other,8
AYM50448,2017,Other,8
AGF68758,2010,Other,5
AGL07367,2012,Other,9
APB89243,2015,Other,6
AGL07466,2012,Other,9
ALH25553,2015,Other,6
AGL06498,2012,Other,9
AGZ60923,2013,Other,0
QCW15381,2019,Other,3
AJK01530,2010,Other,5
AGK74469,2011,Other,9
ACF10321,2008,Other,13
AGK74505,2011,Other,9
ARB16797,2017,Other,8
AGL07072,2012,Other,9
AGK74480,2011,Other,9
ALH33639,2015,Other,6
AAY27863,2003,FU02,2
AAX76623,2004,Other,10
AAX12791,2002,FU02,2
AHL89042,2005,Other,10
AHL89054,2006,Other,13
AHL89066,2006,Other,13
AHL89078,2006,Other,13
AHL89090,2006,Other,13
AAY28014,2002,FU02,2
AHL89126,2006,Other,13
AHL89138,2006,Other,13
AHL89150,2006,Other,13
AHL89162,2006,Other,13
AHL89174,2006,Other,13
AHL89186,2006,Other,13
AHL89198,2006,Other,13
AAY44631,2002,FU02,2
APT37665,2016,Other,6
AHL89246,2006,Other,13
AHL89258,2006,Other,13
AHL89330,2006,Other,13
AHL89354,2006,Other,13
AHL89366,2006,Other,13
AHL89426,2006,Other,13
AAY28285,2002,FU02,2
AAX56580,2002,FU02,2
AAY28648,2002,FU02,2
AHL89882,2007,Other,13
AAX56590,2002,FU02,2
AHL89906,2007,Other,13
AHL89918,2007,Other,13
AHL90014,2007,Other,13
AHL90038,2007,Other,13
AHL90062,2007,Other,13
AAX57644,2003,FU02,2
AAX11635,2002,FU02,2
AHL90086,2007,Other,13
AHL90110,2007,Other,13
AHL90385,2008,Other,13
AHL90397,2008,Other,13
AAX12801,2002,FU02,2
AHL90422,2008,Other,13
AHL90458,2008,Other,13
AHL90518,2008,Other,13
AAX57684,2002,FU02,2
AHL90626,2008,Other,13
AHL90674,2008,Other,13
AHL90686,2008,Other,13
AAX76663,2002,FU02,2
AAY44641,2002,FU02,2
AHL91070,2009,Other,5
AHL91082,2009,Other,5
AHL91106,2009,Other,5
AHL91118,2009,Other,5
AHL91130,2009,Other,5
ALH25792,2015,Other,6
ARJ34616,2017,Other,8
AAX57784,2002,FU02,2
AAY28405,2002,FU02,2
ABA43200,2004,Other,10
AAY47023,2002,FU02,2
AAZ38539,2002,FU02,2
AAX47515,2002,FU02,2
ACA33691,2007,Other,13
QDX13571,2019,Other,3
AAX57734,2002,FU02,2
AAX35861,2001,SY97,2
AAX56510,2002,FU02,2
AAX35871,2002,FU02,2
AAY28275,1999,SY97,12
AAY44795,1999,SY97,12
AAY18096,2003,FU02,2
AAY59035,1999,SY97,12
AAY64212,2000,SY97,12
AAX57794,1999,SY97,12
AAY44755,1999,SY97,12
AAX76683,2000,SY97,12
AAY28363,2000,SY97,12
AAZ74617,1999,SY97,12
AAY47052,1999,SY97,12
AAY44651,2000,SY97,12
AGL06842,2012,Other,9
AAY28551,2000,SY97,12
AAX57804,1999,SY97,12
AAY28591,1999,SY97,12
ACZ05183,2009,Other,5
AAX57824,2000,SY97,12
AGL07081,2012,Other,9
AAX57864,2000,SY97,12
AAX57894,2000,SY97,12
AAY28395,2003,FU02,2
QDX11180,2019,Other,3
AAX57924,2000,SY97,12
AAX76723,1999,SY97,12
AAY44775,2000,SY97,12
AAX34061,2003,FU02,2
AAZ83688,2004,Other,10
AAX57944,2003,FU02,2
AAX76733,2003,FU02,2
AAX76743,2003,FU02,2
AAY47075,2003,FU02,2
AAY64292,2003,FU02,2
AAY18196,2003,FU02,2
AAY28618,2003,FU02,2
ALH27393,2014,Other,0
ARS00147,2017,Other,8
ADM07504,2010,Other,5
ADM26817,2010,Other,5
AAZ83242,2003,FU02,2
AAY44661,2003,FU02,2
AAZ80030,2004,Other,10
AAX56400,2003,FU02,2
AAY64232,1998,SY97,12
AAX12741,2003,FU02,2
ABB02836,2004,Other,10
ABB02847,2004,Other,10
ABB53663,2005,Other,10
AAY46416,1998,SY97,12
ABC54679,2004,Other,10
AAY46426,1998,SY97,12
AAZ83312,1998,SY97,12
AAZ83266,1999,SY97,12
AAZ74386,1998,SY97,12
AAY64262,1999,SY97,12
AAY28571,2003,FU02,2
ALH28218,2014,Other,0
QJA11518,2020,Other,3
AAY46371,1999,SY97,12
AAY64342,1999,SY97,12
AAZ79516,1999,SY97,12
AAY64392,2003,FU02,2
AAY64362,2003,FU02,2
AAY98187,2003,FU02,2
AAY98067,2002,FU02,2
AAY98077,2002,FU02,2
AAZ38462,1999,SY97,12
AZF86949,2018,Other,8
AAY98117,1999,SY97,12
AAY64372,1999,SY97,12
AAY98127,1999,SY97,12
AAY98137,1998,SY97,12
QDX13638,2019,Other,3
ABI22159,2006,Other,13
ABA18123,2001,SY97,2
ACZ05216,2009,Other,5
ACZ05271,2009,Other,5
AGF44898,2012,Other,9
ACZ05282,2009,Other,5
AGF44905,2012,Other,9
AGF44911,2012,Other,9
AZF86399,2018,Other,8
QDE07584,2019,Other,3
AGF44919,2012,Other,9
AAY98167,1999,SY97,12
ACZ05337,2009,Other,5
ACZ05392,2009,Other,5
AAY98195,1999,SY97,12
ACZ05414,2009,Other,5
ACZ05425,2009,Other,5
AAZ74397,1999,SY97,12
AGL09771,2012,Other,9
AGL09773,2012,Other,9
AAY98247,1999,SY97,12
AGL09778,2012,Other,9
AGL09779,2013,Other,0
AGL09780,2013,Other,0
AGL09783,2013,Other,0
AAZ74408,1999,SY97,12
AGL09786,2013,Other,0
AGL09791,2012,Other,9
AGL09793,2012,Other,9
AGL09794,2012,Other,9
AGL09798,2012,Other,9
AAZ38473,1999,SY97,12
ABC54668,1999,SY97,12
AAY98329,1999,SY97,12
AAX56420,2004,Other,10
AWX41422,2015,Other,6
AAZ79582,1998,SY97,12
AAZ38495,1999,SY97,12
AAY98366,1999,SY97,12
AAY98376,1999,SY97,12
AAZ83323,1999,SY97,12
ADY17665,2009,Other,5
AAY28295,2003,FU02,2
AGZ60962,2012,Other,9
ADE34235,2009,Other,5
ACZ05983,2009,Other,5
ACZ05972,2009,Other,5
AAZ38517,2005,Other,10
AAZ79615,2004,Other,10
ABA12762,2004,Other,10
AAZ79627,2004,Other,10
ADB89721,2009,Other,5
AAY44906,2003,FU02,2
AXB52067,2018,Other,8
AAZ74474,2004,Other,10
ACZ05994,2009,Other,5
ADV76579,2009,Other,5
ABA43178,2005,Other,10
AAZ38583,2004,Other,10
AAX76643,2003,FU02,2
ATZ79768,2017,Other,8
AAZ38605,2005,Other,10
AAZ74573,2005,Other,10
ALH33127,2014,Other,0
AAZ38594,2005,Other,10
ADY17687,2009,Other,5
ADV76631,2009,Other,5
ABA12780,2005,Other,10
ABA42291,2005,Other,10
ABB53696,1999,SY97,12
AAZ74584,1999,SY97,12
AYN08162,2018,Other,8
ABA42335,2002,FU02,2
ABA42379,2002,FU02,2
QEN97808,2019,Other,3
ABA42401,2002,FU02,2
ABA42412,2002,FU02,2
ABA42476,2002,FU02,2
ALA08628,2014,Other,0
ABA42498,2002,FU02,2
QEN97820,2019,Other,3
ABB04983,2002,FU02,2
ABB02869,1999,SY97,12
ABB05183,1999,SY97,12
ABB05194,1999,SY97,12
ABA42978,1999,SY97,12
ABB02880,1999,SY97,12
ADE34268,2009,Other,5
ABA42928,1999,SY97,12
ABB05205,1999,SY97,12
ANN01475,2016,Other,6
ABB02891,2000,SY97,12
ABA42520,2000,SY97,12
ABA42531,2000,SY97,12
ABB82183,2000,SY97,12
ABA42553,2000,SY97,12
ABB02902,2000,SY97,12
ABB05005,2000,SY97,12
ALE31841,2015,Other,6
ALE31843,2015,Other,6
ABB46414,1999,SY97,12
ABB02991,1999,SY97,12
ABB03002,1999,SY97,12
ALE31933,2015,Other,6
ALE31934,2015,Other,6
ABB46425,1999,SY97,12
ABB03013,1999,SY97,12
ABB03024,1999,SY97,12
ABB03035,1999,SY97,12
ABB03046,1999,SY97,12
AAX76653,2003,FU02,2
ABC40608,1999,SY97,12
ABB79731,2005,Other,10
ABB03057,2005,Other,10
ABB80001,2004,Other,10
ALE32073,2015,Other,6
ALE32074,2015,Other,6
ALE32077,2015,Other,6
ABB46458,2004,Other,10
ABD15625,2003,FU02,2
AAX11585,2003,FU02,2
AUM85480,2017,Other,8
ALN39740,2015,Other,6
ALN39742,2015,Other,6
ALN39743,2015,Other,6
ALN39745,2015,Other,6
ABB03112,2003,FU02,2
AAX56430,2003,FU02,2
QHI03484,2019,Other,3
AAX76763,2004,Other,10
AAX11595,2003,FU02,2
QHN71496,2019,Other,3
ABB80148,1997,SY97,12
APF46424,2016,Other,6
ABC84411,1998,SY97,12
ABB77853,1997,SY97,12
ABB59996,1997,SY97,12
ABC02234,1998,SY97,12
ABB77864,1997,SY97,12
ABB60007,1998,SY97,12
ABB80196,1998,SY97,12
AAX35821,2004,Other,10
ABB80207,1998,SY97,12
ABB80492,1997,SY97,12
ABB80503,1998,SY97,12
ABB80748,1998,SY97,12
ABC67576,1997,SY97,12
ABC02288,1998,SY97,12
ABB80218,1998,SY97,12
ABB80529,1998,SY97,12
ABB80661,1998,SY97,12
ABB96531,1998,SY97,12
ABD94822,1998,SY97,12
ACT21466,1998,SY97,12
ACT21467,1998,SY97,12
ACT21468,1998,SY97,12
ACT21469,1998,SY97,12
ACT21470,1998,SY97,12
ACT21472,1998,SY97,12
ABB80251,1998,SY97,12
QHN72078,2019,Other,3
ABB80672,1998,SY97,12
ABB80682,1998,SY97,12
ABB80724,1998,SY97,12
ABW80976,2001,SY97,2
ACF41900,2004,Other,10
AIU46079,2004,Other,10
ABG88289,1996,WU95,7
ABF47594,1996,WU95,7
ABD77829,1997,SY97,12
ABG26769,1996,WU95,7
APB91161,2015,Other,6
AOT90502,2016,Other,6
ABD79123,1997,SY97,12
ABE13471,1996,WU95,7
ABD94844,1996,WU95,7
ABD79134,1997,SY97,12
ABD79145,1996,WU95,7
ABD79189,1997,SY97,12
ABD94855,1996,WU95,7
ABD77840,1996,WU95,7
ASE04466,2016,Other,6
ABD77686,1997,SY97,12
ABG37131,1996,WU95,7
ABD79211,1997,SY97,12
AAY64202,2003,FU02,2
ABD94866,1996,WU95,7
ATD11003,2017,Other,8
ABD78115,1996,WU95,7
ABD77862,1997,SY97,12
ABD77895,1996,WU95,7
AAY18126,2003,FU02,2
ABD79244,1996,WU95,7
ABD94877,1996,WU95,7
ABD94888,1996,WU95,7
ABD78126,1996,WU95,7
ABJ53482,2006,Other,13
ABE13555,1996,WU95,7
ABE13595,1995,WU95,7
ABE13606,1996,WU95,7
ABE13617,1995,WU95,7
ABE13652,1995,WU95,7
ATD11301,2017,Other,8
ATD11302,2017,Other,8
ABE11911,1996,WU95,7
AOT90562,2016,Other,6
ABE14052,1996,WU95,7
ATD11458,2017,Other,8
ATD11462,2017,Other,8
ABE14464,1995,WU95,7
ABG37175,1996,WU95,7
ABG37186,1996,WU95,7
ABE14840,1996,WU95,7
ABG67667,1995,WU95,7
ABG37197,1996,WU95,7
ABG47851,1995,WU95,7
ABE15578,1995,WU95,7
ABG47862,1996,WU95,7
ABG37230,1994,BE92,7
ABG79963,1994,BE92,7
ABG67157,1994,BE92,7
ABG37241,1995,WU95,7
ABG37252,1994,BE92,7
AAY44796,2003,FU02,2
ABG37263,1995,WU95,7
ABG79996,1995,WU95,7
ABG37274,1994,BE92,7
AXP19306,2018,Other,8
ACT67811,2009,Other,5
ABG88355,1995,WU95,7
ABI20892,1995,WU95,7
ABG67190,1995,WU95,7
ABG37329,1995,WU95,7
ABK40656,1995,WU95,7
ABG67201,1995,WU95,7
AXX75423,2018,Other,8
ABI20903,1994,BE92,7
ABG37340,1995,WU95,7
ABG26890,1995,WU95,7
ABG88399,1995,WU95,7
ABG80062,1995,WU95,7
ABK40667,1995,WU95,7
ABG26901,1995,WU95,7
ABG26912,1995,WU95,7
ABK40678,1994,BE92,7
ABG80073,1994,BE92,7
ABG80084,1994,BE92,7
AAX56570,2001,SY97,2
ABG80095,1994,BE92,7
ABG47939,1993,BE92,7
ABG80117,1994,BE92,7
ABG47950,1994,BE92,7
ABG47961,1994,BE92,7
ABG67212,1994,BE92,7
ABG88432,1994,BE92,7
QAB04176,2018,Other,8
ABG48005,1994,BE92,7
ABG67234,1994,BE92,7
ABI20914,1994,BE92,7
ABG26934,1994,BE92,7
ABF47858,1994,BE92,7
ABG88454,1994,BE92,7
ABG88465,1994,BE92,7
ABI92324,1994,BE92,7
QBA99016,2018,Other,8
ABI20947,1994,BE92,7
ABI20958,1994,BE92,7
ABG80128,1994,BE92,7
ABG80139,1994,BE92,7
ABG80150,1994,BE92,7
